"Date"	"Aircraft Type"	"Aircraft Registration"	"Route of Flight From"	"Route of Flight Via"	"Route of Flight To"	"Duration of Flight"	"Flight Distance (nm)"	"ASEL"	"Tailwheel"	"PIC"	"Cross Country"	"as Safety Pilot"	"Dual Received"	"Day T-O"	"Day Ldg"	"Night T-O"	"Night Ldg"	"Night"	"Simulated Instrument"
"6/8/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	".9"	""	".9"	""	""	""	""	".9"	"1"	"1"	""	""	""	""	""	
"6/10/2005"	"C172N"	"N1629E"	"SGR"	""	"SGR"	"1.1"	""	"1.1"	""	""	""	""	"1.1"	"2"	"2"	""	""	""	""	""	
"6/13/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"3"	"3"	""	""	""	""	""	
"6/15/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"2"	"2"	""	""	""	""	""	
"6/20/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.3"	""	"1.3"	""	""	""	""	"1.3"	"3"	"3"	""	""	""	""	""	
"6/22/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"3"	"3"	""	""	""	""	""	
"6/24/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"1"	"1"	""	""	""	""	""	
"6/27/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.1"	""	"1.1"	""	""	""	""	"1.1"	"1"	"1"	""	""	""	".3"	""	
"6/29/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"2"	"2"	""	""	""	".4"	""	
"7/1/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.0"	""	"1.0"	""	""	""	""	"1.0"	"6"	"6"	""	""	""	""	""	
"7/7/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.0"	""	"1.0"	""	""	""	""	"1.0"	"6"	"5"	""	""	""	""	""	
"7/9/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"2"	"2"	""	""	""	""	""	
"7/11/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"5"	"5"	""	""	""	".3"	""	
"7/13/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	".9"	""	".9"	""	""	""	""	".9"	"5"	"5"	""	""	""	""	""	
"7/17/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"6"	"6"	""	""	""	""	""	
"7/19/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"1"	"1"	""	""	""	""	""	
"7/25/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.3"	""	"1.3"	""	""	""	""	"1.3"	"4"	"4"	""	""	""	""	""	
"7/30/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"3"	"3"	""	""	""	""	""	
"8/1/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	".7"	""	".7"	""	""	""	""	".7"	"3"	"3"	""	""	""	""	""	
"8/3/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"6"	"6"	""	""	""	""	""	
"8/4/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"4"	"4"	""	""	""	""	""	
"8/8/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"3"	"3"	""	""	""	""	""	
"8/11/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.3"	""	"1.3"	""	""	""	""	"1.3"	"1"	"1"	""	""	""	""	""	
"8/13/2005"	"C172R"	"N857CP"	"SGR"	"PSX"	"SGR"	"1.9"	"124.15"	"1.9"	""	""	"1.9"	""	"1.9"	"2"	"2"	""	""	""	""	""	
"8/18/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.1"	""	"1.1"	""	""	""	""	"1.1"	"1"	"1"	""	""	""	".6"	""	
"8/27/2005"	"C172S"	"N2141Y"	"SGR"	"CLL"	"SGR"	"1.8"	"137.29"	"1.8"	""	""	"1.8"	""	"1.8"	"2"	"2"	""	""	""	""	""	
"8/31/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.4"	""	"1.4"	""	""	""	""	"1.4"	"2"	"2"	""	""	""	".5"	""	
"9/7/2005"	"C172S"	"N17SJ"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"5"	"5"	""	""	""	""	""	
"10/5/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.2"	""	"1.2"	""	""	""	""	"1.2"	"2"	"2"	""	""	""	""	""	
"10/7/2005"	"C172R"	"N857CP"	"SGR"	""	"SGR"	"1.5"	""	"1.5"	""	""	""	""	"1.5"	"1"	"1"	""	""	""	""	""	
