Date	Flight Num 	Tail Number	Route		Dep Time 	Arr Time 	
3/23/2009	126	N667UA	KLAX	KORD	609	1002	
3/24/2009	6015	N465SW	KORD	KFAR	1542	1717	
3/24/2009	6026	N465SW	KFAR	KORD	1732	1928	
3/25/2009	149	N187UA	KORD	KSFO	2055	103	
4/11/2009	164	N214UA	KSFO	KORD	1402	1732	
7/28/2009	5944	N455SW	KORD	KFAR	2000	2143	
7/28/2009	6554	N455SW	KFAR	KDEN	2209	8	
							
							
4068.59 hours total flight time							
							
							
Script took 1248827596.894003 seconds to complete.							
