Date	Time	Airplane	Tail#	Custom	Route	SEL	Act. Inst.	Sim. Inst.	Inst. App.	FTD	Day LDG	Night LDG	Ground Training	Dual Rcvd	Cross Country	Day	Night	Solo	Pilot in Cmd	pic x_Country	SES	MES	G1000	Complex	High Perf.	Tail Dragger	Dual Given	Total	Notes	Passengers
12/10/2006		A150K	N8310M			0.9					5					0.9		0.9	0.9	0.0								0.9		
2/19/2007		A150K	N8310M			1.5					8			1.5		1.5			1.5	0.0								1.5		
3/8/2007		A150K	N8310M			0.5					2					0.5		0.5	0.5	0.0								0.5		
3/11/2007		A150K	N8310M			1.3					3					1.3		1.3	1.3	0.0								1.3		
3/25/2007		A150K	N8310M			2.1					3				2.1	2.1		2.1	2.1	2.1								2.1		
4/2/2007		A150K	N8310M			1.7					2				1.7	1.7		0.8	1.7	1.7								1.7		
4/22/2007		A150K	N8310M			1.4					2					1.4		1.4	1.4	0.0								1.4		
5/21/2007		C172P	N146K			1.7					5			1.7		1.7			1.7	0.0								1.7		
5/31/2007		C172P	N146K			0.5					3					0.5		0.5	0.5	0.0								0.5		
6/2/2007		C172P	N146K			1.5					2					1.5			1.5	0.0								1.5		
6/10/2007		C172P	N146K			2.8					2				2.8	2.8			2.8	2.8								2.8		
7/7/2007		A150K	N8310M			1.0					1					1.0		1.0	1.0	0.0								1.0		
7/15/2007		C172P	N146K			1.8					5					1.8		1.8	1.8	0.0								1.8		
7/22/2007		C172P	N146K			1.5					2					1.5		1.5	1.5	0.0								1.5		
7/30/2007		C172P	N146K			1.6					3					1.6		1.6	1.6	0.0								1.6		
9/15/2007		A150K	N8310M			1.3					3					1.3		1.3	1.3	0.0								1.3		
11/4/2007		C172P	N146K			1.4					6					1.4		1.4	1.4	0.0								1.4		
12/30/2007		C172P	N146K			1.0					5		1	1.0		1.0			1.0	0.0								1.0		
12/30/2007		C172P	N146K			1.5					3					1.5		1.5	1.5	0.0								1.5		
2/28/2008		C172P	N146K			1.2					1					1.2		1.2	1.2	0.0								1.2		
3/20/2008		A150K	N8310M			0.9					2					0.9		0.9	0.9	0.0								0.9		
3/23/2008		C172P	N146K			1.0					1					1.0			1.0	0.0								1.0		
3/29/2008		C172P	N146K			1.4					1					1.4			1.4	0.0								1.4		
4/2/2008		C172P	N146K			1.1					5					1.1		1.1	1.1	0.0								1.1		
5/4/2008		C172P	N146K			2.2					2				2.2	2.2		2.2	2.2	2.2								2.2		
5/12/2008		C172P	N146K			1.5					6					1.5		1.5	1.5	0.0								1.5		
5/16/2008		C172P	N146K			1.1					3					1.1		1.1	1.1	0.0								1.1		
6/8/2008		A150K	N8310M			0.9					5					0.9		0.9	0.9	0.0								0.9		
6/22/2008		C172P	N146K			1.7					5					1.7		1.7	1.7	0.0								1.7		
7/6/2008		A150K	N8310M			0.4					1					0.4		0.4	0.4	0.0								0.4		
7/9/2008		C172P	N146K			0.7					1					0.7		0.7	0.7	0.0								0.7		
7/13/2008		C172P	N146K			2.2					2				2.2	2.2			2.2	2.2								2.2		
7/21/2008		C172P	N146K			0.4					1					0.4		0.4	0.4	0.0								0.4		
8/3/2008		C172P	N146K			1.4					1					1.4			1.4	0.0								1.4		
8/26/2008		C172P	N146K			5.1					2				5.1	5.1			5.1	5.1								5.1		
9/1/2008		C172P	N146K			4.8					2				4.8	4.8			4.8	4.8								4.8		
9/19/2008		A150K	N8310M			1.1					3					1.1		1.1	1.1	0.0								1.1		
11/7/2008		C172P	N146K			1.5					3					1.5		1.5	1.5	0.0								1.5		
12/7/2008		C182S	N182SV			1.5					5			1.5		1.5			1.5	0.0					1.5			1.5		
12/30/2008		C182S	N182SV			1.5					7			1.5		1.5			1.5	0.0					1.5			1.5		
1/30/2009		C182T	N721ZA			2.0					7			2.0		2.0			2.0	0.0			2.0		2.0			2.0		
