Date	Time	Airplane	Tail#	Custom	Route	Day LDG	Night LDG	Inst. App.	Day	Night	SEL	MEL	SES	MES	Ground Trainer	Complex	High Perf.	Tail Dragger	Sim. Inst.	Act. Inst.	Cross Country	Part 135 XC	Dual Given	Dual Rcvd	Pilot in Cmd	Total	Notes	Passengers
8/27/2007		Frasca 241	SF4004		UND-UND			2							1.3													
8/29/2007		PA28-161	N443ND		GFK-GFK	1		2	1.7		1.7								1.4					1.7		1.7		
8/31/2007		PA28-161	N446ND		GFK-GFK	1		1	1.5		1.5								1.0	0.1				1.5		1.5		
9/1/2007		Frasca 241	SF4002		UND-UND			2							1.0													
9/3/2007		PA28-161	N440ND		GFK-GFK	1		2	1.6		1.6								1.2					1.6		1.6		
9/5/2007		PA28-161	N431ND		GFK-GFK	1		2	1.4		1.4								1.1					1.4		1.4		
9/7/2007		PA28-161	N442ND		GFK-GFK	1		2	1.4		1.4								0.5	0.6				1.4		1.4		
9/8/2007		Frasca 241	SF4004		UND-UND			2							1.1													
9/10/2007		PA28-161	N434ND		GFK-GFK	1		2	1.0		1.0								0.8					1.0		1.0		
9/12/2007		PA28-161	N454ND		GFK-GFK	1		2	1.6		1.6								1.4					1.6		1.6		
9/13/2007		PA28-161	N440ND		GFK-GFK	1		1		1.0	1.0								0.7	0.1				1.0		1.0		
9/14/2007		Frasca 241	SF4003		UND-UND			3							1.3													
9/16/2007		Frasca 241	SF4002		UND-UND			2							1.2													
9/17/2007		PA28-161	N432ND		GFK-GFK	1		2	0.9		0.9									0.7				0.9		0.9		
9/21/2007		PA28-161	N433ND		GFK-GFK	1		2	1.5		1.5								1.3					1.5		1.5		
9/28/2007		PA28-161	N460ND		GFK-GFK	1		3	1.7		1.7								1.4					1.7		1.7		
10/1/2007		PA28-161	N432ND		GFK-GFK	1		2	1.4		1.4								1.1					1.4		1.4		
10/5/2007		PA28-161	N440ND		GFK-GFK	1		3	1.9	0.4	2.3									1.9				2.3		2.3		
10/11/2007		PA28-161	N447ND		GFK-GFK	1		3	1.4		1.4								0.3	0.8				1.4		1.4		
10/18/2007		Frasca 241	SF4003		UND-UND			2							2.1													
10/20/2007		PA28-161	N453ND		GFK-FAR-AXN-STP	3		3	2.9	0.5	3.4								2.9		3.4	3.4		3.4		3.4		
10/20/2007		PA28-161	N453ND		STP-STC-GFK		2	2		2.9	2.9								2.5		2.9	2.9		2.9		2.9		
10/29/2007		PA28-161	N454ND		GFK-BDE-GFK	2		2	3.1		3.1								2.6		3.1	3.1		3.1		3.1		
10/31/2007		PA28-161	N449ND		GFK-GFK	1		1	1.2		1.2								0.9					1.2		1.2		
11/12/2007		PA28-161	N435ND		GFK-FAR-3H4-GFK	1		3	2.1		2.1								1.8			2.1		2.1		2.1		
1/14/2008		PA28R-201	N804ND		GFK-GFK	3			1.3		1.3					1.3								1.3		1.3		
1/18/2008		PA28R-201	N286ND		GFK-3H4-GFK	6			1.8		1.8					1.8						1.8		1.8		1.8		
1/21/2008		PA28R-201	N279ND		GFK-TVF-GFK	4			1.4		1.4					1.4						1.4		1.4		1.4		
1/23/2008		PA28R-201	N278ND		GFK-Y37-GFK	4			1.5		1.5					1.5						1.5		1.5		1.5		
2/1/2008		PA28R-201	N278ND		GFK-GFK	4			1.6		1.6					1.6								1.6		1.6		
2/2/2008		PA28R-201	N384ND		GFK-Y37-GFK	5			1.6		1.6					1.6						1.6		1.6		1.6		
2/18/2008		PA28R-201	N278ND		GFK-GFK	1			1.5		1.5					1.5								1.5		1.5		
2/18/2008		PA28R-201	N278ND		GFK-GFK		5			0.7	0.7					0.7								0.7		0.7		
2/25/2008		PA28R-201	N384ND		GFK-GFK	1			1.6		1.6					1.6								1.6		1.6		
2/27/2008		PA28R-201	N279ND		GFK-D81-GFK	3			1.3		1.3					1.3						1.3		1.3		1.3		
3/10/2008		PA28R-201	N287ND		GFK-GFK	1			1.5		1.5					1.5								1.5		1.5		
3/10/2008		PA28-161	N453ND		GFK-GFK		5			0.7	0.7													0.7		0.7		
3/11/2008		PA28-161	N448ND		GFK-ASX-DLH-GFK	2	1		2.8	2.6	5.4										5.4	5.4			5.4	5.4		
3/15/2008		PA28R-201	N287ND		GFK-GFK	3			1.8		1.8					1.8								1.8		1.8		
3/19/2008		PA28R-201	N289ND		GFK-GAF-GFK	5			1.9		1.9					1.9						1.9		1.9		1.9		
3/28/2008		PA28R-201	N289ND		GFK-GFK	1			1.6		1.6					1.6								1.6		1.6		
4/1/2008		PA28R-201	N287ND		GFK-GAF-GFK	3			1.6		1.6					1.6						1.6		1.6		1.6		
4/5/2008		PA28R-201	N287ND		GFK-GFK	4			1.1		1.1					1.1								1.1		1.1		
4/16/2008		PA28R-201	N288ND		GFK-GFK	5			2.0		2.0					2.0								2.0		2.0		
8/29/2008		Frasca 242	SF5001		UND-UND										0.9													
8/31/2008		Frasca 242	SF5003		UND-UND										1.1													
9/3/2008		PA44-180	N298ND		GFK-TVF-GFK	4			1.6			1.6				1.6						1.6		1.6		1.6		
9/10/2008		Frasca 242	SF5003		UND-UND										1.1													
9/12/2008		Frasca 242	SF5003		UND-UND										1.0													
9/14/2008		PA44-180	N580ND		GFK-GAF-GFK	4			1.6			1.6				1.6						1.6		1.6		1.6		
9/15/2008		PA44-180	N298ND		GFK-GPZ-COQ-DLH	4			2.2			2.2				2.2					2.2	2.2		2.2		2.2		
9/15/2008		PA44-180	N298ND		DLH-HIB-BJI-GFK		4			2.2		2.2				2.2					2.2	2.2		2.2		2.2		
9/16/2008		PA44-180	N581ND		GFK-FAR		8			1.1		1.1				1.1					1.1	1.1		1.1		1.1		
9/16/2008		PA44-180	N581ND		FAR-GFK		2			1.2		1.2				1.2					1.2	1.2		1.2		1.2		
9/17/2008		PA44-180	N582ND		GFK-RAP-JMS-GFK	1	3		2.6	3.4		6.0				6.0					6.0	6.0		6.0		6.0		
9/24/2008		Frasca 242	SF5003		UND-UND			2							1.3													
9/29/2008		Frasca 242	SF8001		UND-UND			2							1.0													
10/3/2008		PA44-180	N492ND		GFK-GFK	1		2	1.2			1.2				1.2			0.9					1.2		1.2		
10/5/2008		Frasca 242	SF5003		UND-UND			2							2.3													
10/6/2008		Frasca 242	SF5001		UND-UND			2							1.4													
10/8/2008		Frasca 242	SF8001		UND-UND			2							1.0													
10/10/2008		PA44-180	N581ND		GFK-GFK	1		2	1.6			1.6				1.6			1.3					1.6		1.6		
10/15/2008		Frasca 242	SF8001		UND-UND			2							2.3													
10/19/2008		PA44-180	N492ND		GFK-BIS-JMS-GFK	2		3	3.6			3.6				3.6			3.0	0.1	3.6	3.6		3.6		3.6		
10/20/2008		Frasca 242	SF5002		UND-UND			2							1.4													
10/22/2008		Frasca 242	SF8001		UND-UND			2							2.1													
10/25/2008		Frasca 242	SF8001		UND-UND			2							1.2													
10/29/2008		PA44-180	N295ND		GFK-GFK	1		2	1.7			1.7				1.7			1.2					1.7		1.7		
11/19/2008		PA44-180	N581ND		GFK-GFK	4			0.8			0.8				0.8								0.8		0.8		
12/9/2008		PA44-180	N494ND		GFK-GFK	1		2	1.8			1.8				1.8			0.7					1.8		1.8		
12/17/2008		PA44-180	N297ND		GFK-GFK	1		1	1.6			1.6				1.6			0.3					1.6		1.6		
12/18/2008		PA44-180	N492ND		GFK-GFK	4		1	1.2			1.2				1.2			0.3					1.2		1.2		
12/18/2008		PA44-180	N582ND		GFK-GFK		3	1	0.5	1.0		1.5				1.5			0.4					1.5		1.5		
1/26/2009		C172	N539ND		GFK-GFK	2			1.3		1.3													1.3		1.3		
1/30/2009		C172	N519ND		GFK-GFK	3			1.6		1.6													1.6		1.6		
2/1/2009		C172	N539ND		GFK-4V4-GFK	3			1.4		1.4											1.4		1.4		1.4		
2/4/2009		C172	N530ND		GFK-GAF-GFK	4			1.3		1.3											1.3		1.3		1.3		
2/8/2009		C172	N513ND		GFK-D41-GFK	5			1.3		1.3											1.3		1.3		1.3		
2/12/2009		C172	N552ND		GFK-GAF-GFK		4			1.4	1.4											1.4		1.4		1.4		
2/13/2009		C172	N565ND		GFK-GFK	3			1.5		1.5													1.5		1.5		
2/15/2009		C172	N515ND		GFK-Y37-GFK	5			1.7		1.7											1.7		1.7		1.7		
2/18/2009		C172	N566ND		GFK-Y37-GFK	4			1.5		1.5											1.5		1.5		1.5		
2/22/2009		C172	N530ND		GFK-GFK	3			1.4		1.4													1.4		1.4		
3/3/2009		PA28R-201	N405ND		GFK-FAR-GFK	2			1.6		1.6					1.6			0.2		1.6	1.6		1.6		1.6		
3/13/2009		PA28R-201	N288ND		GFK-GFK	2			1.5		1.5					1.5								1.5		1.5		
4/5/2009		C172	N525ND		GFK-GFK	1			0.9		0.9													0.9		0.9		
4/8/2009		PA28R-201	N278ND		GFK-GAF-GFK	4			1.6		1.6					1.6						1.6		1.6		1.6		
