Date	Tail Number	Route	Duration		
5/5/2005	N797UA	KIAD-EDDM	1.5		
5/5/2005	N797UA	EDDM-KIAD	1.5		
5/6/2005	N557UA	KIAD-KLAX	1.5		
5/6/2005	N939UA	KLAX-KSFO	1.5		
5/8/2005	N573UA	KSFO-KDEN	1.5		
5/8/2005	N573UA	KDEN-KDFW	1.5		
5/8/2005	N355UA	KDFW-KDEN	1.5		
5/8/2005	N928UA	KDEN-KSTL	1.5		
5/8/2005	N380SK	KSTL-KIAD	1.5		
5/9/2005	N797UA	KIAD-EHAM	1.5		
5/11/2005	N797UA	EHAM-KIAD	1.5		
5/12/2005	N614UA	KIAD-KSFO	1.5		
5/14/2005	N374UA	KSFO-KSEA	1.5		
5/14/2005	N374UA	KSEA-KSFO	1.5		
5/14/2005	N653UA	KSFO-KORD	1.5		
5/15/2005	N923UA	KORD-CYYZ	1.5		
5/15/2005	N923UA	CYYZ-KORD	1.5		
5/15/2005	N383UA	KORD-KEWR	1.5		
5/15/2005	N383UA	KEWR-KORD	1.5		
5/16/2005	N592UA	KORD-KSNA	1.5		
5/16/2005	N223SW	KSNA-KLAX	1.5		
5/22/2005	N171UA	KLAX-YSSY	1.5		
5/22/2005	N179UA	YSSY-KLAX	1.5		
5/26/2005	N365UA	KLAX-KDEN	1.5		
5/27/2005	N611UA	KDEN-PHNL	1.5		
5/29/2005	N674UA	PHNL-KLAX	1.5		
5/29/2005	N674UA	KLAX-KIAD	1.5		
5/29/2005	747	VHHH-KORD	1.5		
6/2/2005	N674UA	KIAD-EGLL	1.5		
6/4/2005	N782UA	EGLL-KSFO	1.5		
6/9/2005	N769UA	KSFO-EGLL	1.5		
6/10/2005	N672UA	EGLL-KIAD	1.5		
6/10/2005	N367UA	KIAD-KDEN	1.5		
6/10/2005	N257GL	KDEN-KCYS	1.5		
6/10/2005	N257GL	KCYS-KDEN	1.5		
6/10/2005	N301UA	KDEN-KLAX	1.5		
6/17/2005	N461UA	KLAX-KMSY	1.5		
6/17/2005	N461UA	KMSY-KSFO	1.5		
6/19/2005	N219UA	KSFO-RJNN	1.5		
6/20/2005	N786UA	RJNN-KSFO	1.5		
6/28/2005	N217UA	KSFO-EGLL	1.5		
6/28/2005	N217UA	EGLL-KORD	1.5		
7/6/2005	N488UA	KORD-KPHX	1.5		
7/6/2005	N454SW	KPHX-KLAX	1.5		
7/6/2005	N549UA	KLAX-KDEN	1.5		
7/6/2005	N244YV	KDEN-KHDN	1.5		
7/6/2005	N244YV	KHDN-KDEN	1.5		
7/6/2005	N244YV	KDEN-KCOS	1.5		
7/6/2005	N244YV	KCOS-KDEN	1.5		
7/6/2005	N244YV	KDEN-KEGE	1.5		
7/6/2005	N244YV	KEGE-KDEN	1.5		
7/6/2005	N605UA	KDEN-KSFO	1.5		
7/11/2005	N812UA	KSFO-KATL	1.5		
7/11/2005	N935UA	KATL-KORD	1.5		
7/11/2005	N647UA	KORD-EHAM	1.5		
7/17/2005	N647UA	EHAM-KORD	1.5		
7/17/2005	N363UA	KORD-KIAD	1.5		
7/30/2005	N611UA	KIAD-KSFO	1.5		
8/19/2005	N176UA	KSFO-VHHH	1.5		
8/21/2005	N176UA	VHHH-KORD	1.5		
8/21/2005	N176UA	KORD-RJAA	1.5		
8/22/2005	N176UA	RJAA-WSSS	1.5		
8/22/2005	N176UA	WSSS-VHHH	1.5		
8/26/2005	N176UA	VHHH-KSFO	1.5		
8/26/2005	N360UA	KSFO-KBUR	1.5		
8/26/2005	N360UA	KBUR-KSFO	1.5		
8/28/2005	N176UA	KSFO-EDDF	1.5		
8/29/2005	N176UA	EDDF-KSFO	1.5		
8/31/2005	N360UA	KSFO-KSEA	1.5		
8/31/2005	N360UA	KSEA-KSFO	1.5		
9/1/2005	N226UA	KSFO-KDEN	1.5		
9/3/2005	N672UA	KDEN-KSFO	1.5		
9/3/2005	N957UA	KSFO-KLAX	1.5		
9/8/2005	N642UA	KLAX-KIAD	1.5		
9/9/2005	N969SW	KIAD-KMDW	1.5		
9/10/2005	N660UA	KORD-KSFO	1.5		
