DATE	 	TYPE	PLANE	 	ROUTE 		TOTAL	Cross Country			DAY LANDINGS NIGHT LANDINGS 	ACTUAL INSTRUMENT	SIMULATED INSTRUMENT	APPROACHES		NIGHT	SIMULATOR	 		SOLO	PILOT IN COMMAND	DUAL RECEIVED		REMARKS
20 Jan 80	C-152	N25313	1	cdw--local	1.2				2										1.2		
26 Jan 80	C-150	N2891X	2	cdw--n07--cdw	1.3				2			0.2							1.3		
27 Jan 80	C-152	N25313	1	cdw--local	1.0				1			0.2						1.0			
3 Feb 80	C-152	N68485	2	cdw--13n--cdw	1.2				3							1.2	1.2	1.2		2															1st passenger (dad)
6 Feb 80	C-172	N156Ov	1	cdw--local	0.9					5				0.9				0.9	0.9		
20 Feb 80	C-172	N20432	1	cdw--local	0.7					2				0.7				0.7			
23 Feb 80	C-150	N2891X	2	cdw--13n--cdw	1.1				2							1.1	1.1	1.1		1	
19 Apr 80	C-172	N20432	3	cdw--1f2--5b2--cdw	4.1	4.1			3							4.1		4.1		1	
22 Jun 80	C-150	N714DK	1	mmu--1f2	1.9	1.9			1							1.9		1.9		1	
24 Jun 80	C-152	N5237M	1	1f2--local	0.8				3									0.8	0.8	2	
24 Jun 80	C-152	N67810	2	1f2--izg--1f2	2.1	2.1			2			0.5				2.1		2.1		1	
28 Jun 80	C-152	N67810	1	1f2--local	1.6				1							1.6	1.6	1.6		1	
1 Jul 80	C-152	N46837	2	1f2--5b2--1f2	0.7				2								0.7	0.7		1	
7 Jul 80	C-152	N67810	2	1f2--lkp--1f2	2.0	2.0			2							2.0	2.0	2.0		1	
10 Jul 80	C-152	N67810	2	1f2--k09--1f2	1.3				5							1.3	1.3	1.3		1	
11 Jul 80	C-152	N46837	2	1f2--gfl--1f2	0.9				2			0.8				0.9		0.9		1	
11 Jul 80	C-152	N46837	1	1f2--local	0.4				1									0.4		1	
13 Jul 80	C-152	N67810	2	1f2--cdw--1f2	3.3	3.3			2							3.3	3.3	3.3		1	
18 Jul 80	C172rg	N5297V	2	1f2--5b2--1f2	0.9				2									0.9	0.9	1	
19 Jul 80	C-152	N67810	2	1f2--0b7--1f2	2.5	2.5			6							2.5		2.5		1	
30 Jul 80	C172rg	N5297V	1	1f2--local	0.9				3									0.9	0.9	3	
1 Aug 80	C-152	N67810	1	1f2--local	1.1				3								1.1	1.1		3	
13 Aug 80	C172rg	N5297V	2	1f2--5b2--1f2	0.9				2									0.9	0.9	1	
17 Aug 80	C172rg	N5297V	2	1f2--5b2--1f2	0.9				2									0.9	0.9	1	
22 Aug 80	C-152	N67810	2	1f2--sch--1f2	1.0				2			0.5						1.0		1	
24 Aug 80	C172rg	N5297V	2	1f2--buf--1f2	3.9	3.9			2			3.5				3.9		3.9	3.9	1	
24 Aug 80	C-152	N5237M	1	1f2--lci	1.9	1.9			1							1.9		1.9			
6 Oct 80	C-150	N2891X	1	cdw--local	0.8				3					0.8				0.8	0.8		
9 Oct 80	C-172	N12520	2	cdw--hzy--azo	5.7	5.7			2							5.7	5.7	5.7			
10 Oct 80	C-172	N12520	1	azo--eau	4.1	4.1			1							4.1		4.1			
11 Oct 80	C-172	N12520	1	eau--dbq	1.9	1.9			1							1.9		1.9			
12 Oct 80	C-172	N12520	2	dbq--dtl--gfk	5.7	5.7			2							5.7		5.7			
13 Oct 80	C-172	N12520	2	gfk--5a1--2p7	7.5	7.5			1	1				2.0		7.5		7.5			
14 Oct 80	C-172	N12520	1	2p7--cdw	4.0	4.0			1							4.0		4.0			
1 Mar 81	C-172	N12357	2	mmu--1n7--mmu	1.6				3									1.6	1.6		
4 Mar 81	C-172	N12357	3	mmu--mpo--fwn--mmu	1.9				3							1.9	1.9	1.9			
12 Mar 81	C-172	N12357	3	mmu--22n--ukt--mmu	2.3	2.3			3							2.3	2.3	2.3			
21 Mar 81	C-172	N12357	1	mmu--local	1.3				2									1.3	1.3		
22 Mar 81	C-172	N12357	3	mmu--bid--hto--mmu	3.8	3.8			3							3.8		3.8			
28 Mar 81	C-172	N42095	1	mmu--local	1.4				1							1.4		1.4			
8 Apr 81	C-172	N42095	1	mmu--local	1.3				1							1.3		1.3			
10 Apr 81	C-172	N42095	1	mmu--local	1.5				6									1.5	1.5		
21 Apr 81	C-172	N42095	1	mmu--local	1.4					1		1.2		0.2				1.4	1.4		
22 Apr 81	C-172	N42095	3	mmu--39n--bid--39n--mmu	5.3	5.3			4							5.3		5.3			
