Date	Tail Number	Route	Duration	LANDINGS DAY
5/8/2005	B744	KDEN-KDFW	1.5	1
5/8/2005	B744	KDFW-KDEN	1.5	1
5/8/2005	B744	KDEN-KSTL	1.5	1
5/8/2005	B744	KSTL-KIAD	1.5	1
5/9/2005	B744	KIAD-EHAM	1.5	1
5/11/2005	B744	EHAM-KIAD	1.5	1
5/12/2005	B744	KIAD-KSFO	1.5	1
5/14/2005	B744	KSFO-KSEA	1.5	1
5/14/2005	B744	KSEA-KSFO	1.5	1
5/14/2005	B744	KSFO-KORD	1.5	1
5/15/2005	B744	KORD-CYYZ	1.5	1
5/15/2005	B744	CYYZ-KORD	1.5	1
5/15/2005	B744	KORD-KEWR	1.5	1
5/15/2005	B744	KEWR-KORD	1.5	1
5/16/2005	B744	KORD-KSNA	1.5	1
5/16/2005	B744	KSNA-KLAX	1.5	1
5/22/2005	B744	KLAX-YSSY	1.5	1
5/22/2005	B744	YSSY-KLAX	1.5	1
5/26/2005	B744	KLAX-KDEN	1.5	1
5/27/2005	B744	KDEN-PHNL	1.5	1
5/29/2005	B744	PHNL-KLAX	1.5	1
5/29/2005	B744	KLAX-KIAD	1.5	1
5/29/2005	B744	VHHH-KORD	1.5	1
6/2/2005	B744	KIAD-EGLL	1.5	1
6/4/2005	B744	EGLL-KSFO	1.5	1
6/9/2005	B744	KSFO-EGLL	1.5	1
6/10/2005	B744	EGLL-KIAD	1.5	1
6/10/2005	B744	KIAD-KDEN	1.5	1
6/10/2005	B744	KDEN-KCYS	1.5	1
6/10/2005	B744	KCYS-KDEN	1.5	1
6/10/2005	B744	KDEN-KLAX	1.5	1
6/17/2005	B744	KLAX-KMSY	1.5	1
6/17/2005	B744	KMSY-KSFO	1.5	1
6/19/2005	B744	KSFO-RJNN	1.5	1
6/20/2005	B744	RJNN-KSFO	1.5	1
6/28/2005	B744	KSFO-EGLL	1.5	1
6/28/2005	B744	EGLL-KORD	1.5	1
7/6/2005	B744	KORD-KPHX	1.5	1
7/6/2005	B744	KPHX-KLAX	1.5	1
7/6/2005	B744	KLAX-KDEN	1.5	1
7/6/2005	B744	KDEN-KHDN	1.5	1
7/6/2005	B744	KHDN-KDEN	1.5	1
7/6/2005	B744	KDEN-KCOS	1.5	1
7/6/2005	B744	KCOS-KDEN	1.5	1
7/6/2005	B744	KDEN-KEGE	1.5	1
7/6/2005	B744	KEGE-KDEN	1.5	1
7/6/2005	B744	KDEN-KSFO	1.5	1
7/11/2005	B744	KSFO-KATL	1.5	1
7/11/2005	B744	KATL-KORD	1.5	1
7/11/2005	B744	KORD-EHAM	1.5	1
7/17/2005	B744	EHAM-KORD	1.5	1
7/17/2005	B744	KORD-KIAD	1.5	1
7/30/2005	B744	KIAD-KSFO	1.5	1
8/19/2005	B744	KSFO-VHHH	1.5	1
8/21/2005	B744	VHHH-KORD	1.5	1
8/21/2005	B744	KORD-RJAA	1.5	1
8/22/2005	B744	RJAA-WSSS	1.5	1
8/22/2005	B744	WSSS-VHHH	1.5	1
8/26/2005	B744	VHHH-KSFO	1.5	1
8/26/2005	B744	KSFO-KBUR	1.5	1
8/26/2005	B744	KBUR-KSFO	1.5	1
8/28/2005	B744	KSFO-EDDF	1.5	1
8/29/2005	B744	EDDF-KSFO	1.5	1
8/31/2005	B744	KSFO-KSEA	1.5	1
8/31/2005	B744	KSEA-KSFO	1.5	1
9/1/2005	B744	KSFO-KDEN	1.5	1
9/3/2005	B744	KDEN-KSFO	1.5	1
9/3/2005	B744	KSFO-KLAX	1.5	1
9/8/2005	B744	KLAX-KIAD	1.5	1
9/9/2005	B744	KIAD-KMDW	1.5	1
9/10/2005	B744	KORD-KSFO	1.5	1
9/11/2005	B744	KSFO-PHOG	1.5	1
9/11/2005	B744	PHOG-KSFO	1.5	1
9/16/2005	B744	KSFO-KDEN	1.5	1
9/16/2005	B744	KDEN-KDFW	1.5	1
9/16/2005	B744	KDFW-KORD	1.5	1
9/19/2005	B744	KORD-EDDM	1.5	1
9/21/2005	B744	EDDM-KIAD	1.5	1
9/23/2005	B744	KIAD-EGLL	1.5	1
9/26/2005	B744	EGLL-KSFO	1.5	1
9/29/2005	B744	KSFO-ZSPD	1.5	1
9/30/2005	B744	ZSPD-KSFO	1.5	1
10/2/2005	B744	KSFO-KDEN	1.5	1
10/6/2005	B744	KDEN-KBOS	1.5	1
10/6/2005	B744	KBOS-KIAD	1.5	1
10/7/2005	B744	KIAD-KSFO	1.5	1
10/8/2005	B744	KSFO-YSSY	1.5	1
10/8/2005	B744	YSSY-YMML	1.5	1
10/8/2005	B744	YMML-YSSY	1.5	1
10/10/2005	B744	YSSY-KLAX	1.5	1
10/14/2005	B744	KLAX-KJFK	1.5	1
10/14/2005	B744	KJFK-KIAD	1.5	1
10/14/2005	B744	KIAD-KPVD	1.5	1
10/14/2005	B744	KPVD-KORD	1.5	1
10/17/2005	B744	KORD-KSNA	1.5	1
10/17/2005	B744	KSNA-KSFO	1.5	1
10/17/2005	B744	KSFO-VHHH	1.5	1
10/19/2005	B744	VHHH-WSSS	1.5	1
10/21/2005	B744	WSSS-RJAA	1.5	1
10/22/2005	B744	RJAA-KORD	1.5	1
10/28/2005	B744	KORD-EHAM	1.5	1
10/29/2005	B744	EHAM-KIAD	1.5	1
11/1/2005	B744	KIAD-KTPA	1.5	1
11/1/2005	B744	KTPA-KMIA	1.5	1
11/1/2005	B744	KMIA-MYAM	1.5	1
11/1/2005	B744	MYAM-KMIA	1.5	1
11/3/2005	B744	KMIA-EDDF	1.5	1
11/7/2005	B744	EDDF-OMDB	1.5	1
11/7/2005	B744	OMDB-EDDF	1.5	1
11/18/2005	B744	EDDF-LFMN	1.5	1
11/18/2005	B744	LFMN-EGLL	1.5	1
11/19/2005	B744	EGLL-KSFO	1.5	1
11/24/2005	B744	KSFO-KSAN	1.5	1
11/26/2005	B744	KSAN-KSFO	1.5	1
11/28/2005	B744	KSFO-PHNL	1.5	1
11/28/2005	B744	PHNL-YSSY	1.5	1
11/28/2005	B744	YSSY-PHNL	1.5	1
11/28/2005	B744	PHNL-CYVR	1.5	1
11/28/2005	B744	CYVR-KSFO	1.5	1
11/29/2005	B744	KSFO-RJBB	1.5	1
11/29/2005	B744	RJBB-RKSI	1.5	1
11/30/2005	B744	RKSI-KLAX	1.5	1
11/30/2005	B744	KLAX-NZAA	1.5	1
12/3/2005	B744	NZAA-NZQN	1.5	1
12/4/2005	B744	NZQN-NZAA	1.5	1
12/5/2005	B744	NZAA-KSFO	1.5	1
12/12/2005	B744	KSFO-KORD	1.5	1
12/15/2005	B744	KORD-EGLL	1.5	1
12/17/2005	B744	EGLL-VTBD	1.5	1
12/18/2005	B744	VTBD-RJAA	1.5	1
12/19/2005	B744	RJAA-RCTP	1.5	1
12/19/2005	B744	RCTP-RJNN	1.5	1
12/19/2005	B744	RJNN-RJAA	1.5	1
12/20/2005	B744	RJAA-KSEA	1.5	1
12/20/2005	B744	KSEA-KSFO	1.5	1
12/22/2005	B744	KSFO-KBUR	1.5	1
12/22/2005	B744	KBUR-KSFO	1.5	1
12/25/2005	B744	KSFO-KSAN	1.5	1
12/25/2005	B744	KSAN-KDEN	1.5	1
12/26/2005	B744	KDEN-KDTW	1.5	1
12/29/2005	B744	KDTW-KCLT	1.5	1
12/29/2005	B744	KCLT-KPVD	1.5	1
12/30/2005	B744	KPVD-KORD	1.5	1
12/31/2005	B744	KORD-KEWR	1.5	1
1/1/2006	B744	KEWR-EDDM	1.5	1
1/7/2006	B744	EDDM-EFHK	1.5	1
1/7/2006	B744	EFHK-EDDF	1.5	1
1/9/2006	B744	EDDF-FAJS	1.5	1
1/9/2006	B744	EDDF-LPPT	1.5	1
1/13/2006	B744	LPPT-EDDF	1.5	1
1/16/2006	B744	EDDF-KJFK	1.5	1
1/18/2006	B744	KJFK-KIAD	1.5	1
1/20/2006	B744	KIAD-KBOS	1.5	1
1/23/2006	B744	KBOS-KSFO	1.5	1
1/27/2006	B744	KSFO-KDEN	1.5	1
1/28/2006	B744	KDEN-KSEA	1.5	1
1/28/2006	B744	KSEA-KLAX	1.5	1
1/30/2006	B744	KLAX-PHNL	1.5	1
2/4/2006	B744	PHNL-RJAA	1.5	1
2/4/2006	B744	KORD-KDTW	1.5	1
2/6/2006	B744	RJAA-VHHH	1.5	1
2/11/2006	B744	VHHH-KSFO	1.5	1
2/12/2006	B744	KSFO-KDEN	1.5	1
2/12/2006	B744	KDEN-KPIT	1.5	1
2/12/2006	B744	KPIT-KMCO	1.5	1
2/13/2006	B744	KMCO-KIAD	1.5	1
