"DATE"	"MAKE/MODEL"	"IDENT"	"FROM"	"MID"	"TO"	"DURATION"	"ASEL"	"AMEL"	"COMPLEX"	"SIM"	"SIM"	"DAY"	"NIGHT"	"NIGHT PIC"	"Dual"	"PIC"	"TOTAL"	"INSTRUMENT"	"INST/HOOD"	"APPROACH"	"SIMULATOR"	"PIC"	"DUAL RCV"	"SOLO"	"TOTAL"		"COMMAND"	"COMMAND"	"RECEIVED"	"INSTRUCTOR"	"FTD"	"PCATD"	"X-COUNTRY"	"PRIVATE"	"INSTRUMENT"	"COMMERCIAL"	"CFI"	"CFII"	"MULTI"								
4-Dec-05	"PA28-161"	"240D"	"IWA"		"IWA"	1.4	1.4					1							0.9										1.4														
11-Dec-05	"PA28-161"	47717	"IWA"		"IWA"	1.3	1.3					3																	1.3														
12-Dec-05	"PA28-161"	"5361Z"	"IWA"		"IWA"	1.2	1.2					2																	1.2														
18-Dec-05	"PA28-161"	"5319M"	"IWA"		"IWA"	1.7	1.7					5							0.2										1.7														
19-Dec-06	"PA28-161"	"5361Z"	"IWA"		"IWA"	1.7	1.7					2							0.1								1.7																
18-Jan-06	"PA28-161"	"240D"	"IWA"		"IWA"	1.0	1.0					1															1.0		1.0														
21-Jan-06	"PA28-161"	47717	"IWA"		"IWA"	0.9	0.9						6	6	0.9	0.9	0.9										0.9		0.9														
22-Jan-06	"PA28-161"	"5361Z"	"IWA"		"IWA"	1.6	1.6						12	12		1.6	1.6									1.6	1.6																
25-Jan-06	"PA28-161"	"5319M"	"IWA"		"IWA"	1.1	1.1					2															1.1		1.1														
27-Jan-06	"PA28-161"	"950DA"	"IWA"	"E95"	"IWA"	2.5	2.5						2	2	2.5	2.5	2.5					2.5	2.5		2.5		2.5		2.5														
28-Jan-06	"PA28-161"	"950DA"	"IWA"	"YUM"	"IWA"	3.3	3.3					1	1	1	1.3	1.3	1.3					3.3	3.3		3.3		3.3		3.3														
29-Jan-06	"PA28-161"	"5350J"	"IWA"	"E63-YUM-SEE"	"IWA"	5.8	5.8					3	1	1		2.3	2.3					5.8		5.8	5.8	5.8	5.8																
30-Jan-06	"PA28-161"	"5361Z"	"IWA"		"IWA"	1.0	1.0					2														1.0	1.0																
31-Jan-06	"PA28-161"	"950DA"	"IWA"		"IWA"	0.7	0.7						6	6		0.7	0.7									0.7	0.7																
1-Feb-06	"PA28-161"	"240D"	"IWA"		"IWA"	0.9	0.9					1															0.9		0.9														
1-Feb-06	"PA28-161"	"240D"	"IWA"		"IWA"	0.7	0.7					1														0.7	0.7																
6-Feb-06	"PA28-161"	"5361Z"	"IWA"		"IWA"	0.8	0.8						5	5		0.8	0.8									0.8	0.8																
8-Feb-06	"FRASCA 141"									1.5											1.5																						
9-Feb-06	"PA28-161"	"5350J"	"IWA"		"IWA"	0.8	0.8					1														0.8	0.8																
10-Feb-06	"PA28-161"	"2950H"	"IWA"		"IWA"	1.1	1.1						1	1	1.1	1.1	1.1		0.9								1.1		1.1														
11-Feb-06	"PA28-161"	"5319M"	"IWA"	"SOW"	"IWA"	2.7	2.7					2										2.7		2.7	2.7	2.7	2.7																
11-Feb-06	"FRASCA 141"									2.0											2.0																						
12-Feb-06	"PA28-161"	"5350J"	"IWA"	"ELP"	"IWA"	6.2	6.2					1	1	1		1.9	1.9					6.2		6.2	6.2	6.2	6.2																
13-Feb-06	"PA28-161"	"5319M"	"IWA"		"IWA"	1.9	1.9					7														1.9	1.9																
15-Feb-06	"FRASCA 141"									2.0											2.0																						
21-Feb-06	"PA28-161"	"950DA"	"IWA"		"IWA"	0.6	0.6						3	3		0.6	0.6									0.6	0.6																
22-Feb-06	"FRASCA 141"									1.5											1.5																						
25-Feb-06	"PA28-161"	"950DA"	"IWA"	"PSP"	"IWA"	5.5	5.5					1	1	1		2.0	2.0					5.5		5.5	5.5	5.5	5.5																
26-Feb-06	"PA28-161"	"5350J"	"IWA"	"VGT"	"IWA"	5.6	5.6					1	1	1		2.1	2.1					5.6		5.6	5.6	5.6	5.6																
4-Mar-06	"PA28-161"	"616MA"	"IWA"		"IWA"	1.2	1.2					1															1.2		1.2														
4-Mar-06	"FRASCA 141"									1.0											1.0																						
5-Mar-06	"PA28-161"	"2950H"	"IWA"	"UDD"	"IWA"	5.0	5.0					2										5.0		5.0	5.0	5.0	5.0																
22-Mar-06	"PA28-161"	"950DA"	"IWA"		"IWA"	1.3	1.3					3														1.3	1.3		1.3														
25-Mar-06	"PA28-161"	47717	"IWA"		"IWA"	1.2	1.2					4														1.2	1.2																
29-Mar-06	"PA28-151"	32779	"IWA"		"IWA"	1.4	1.4					5															1.4		1.4														
8-Apr-06	"PA28-161"	"4185Q"	"IWA"		"IWA"	1.2	1.2					2															1.2		1.2														
9-Apr-06	"PA28-161"	"5319M"	"IWA"		"IWA"	1.3	1.3					2															1.3		1.3														
