DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,DURATION,LANDINGS DAY,INSTRUMENT,SIMULATED INSTRUMENT,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,REMARKS
24 Mar 08,PA-28-180,N9425J,3B3-SFM-PSM-3B3,2.9,3,,,,,2.9,,2.9,,,$211.70,,
25 Mar 08,PA-28-180,N9425J,3B3-GDM,0.4,1,,,,,,,0.4,,,$29.20,,
5 Apr 08,Cessna 150,N45434,3B3-FIT,0.7,4,,,,,,,0.7,,,$52.50,,
13 Apr 08,Cessna 172,N6049G,KEEN,1.0,,,0.5,,,,,1.0,,,,,ils 2 appch @ een safety pilot- sam carter/ acted as safety pilot for sam carter also
18 Apr 08,PA-28-180,N9425J,GDM-EEN-PTD,2.4,2,,,,,2.4,,2.4,,,$175.20,,Potsdam with Sam Carter
18 Apr 08,PA-28-180,N9425J,PTD-SLK-PTD-MAL,1.9,14,,,,,,,1.9,,,$138.70,,SLK for dreakfeast,  MAL- Bill with cherokee 180
18 Apr 08,PA-28-180,N9425J,PTD-GDM,2.2,1,,,,,2.2,,2.2,,,$160.60,,
26 Apr 08,PA-28-180,N9425J,GDM-HYA,1.0,1,,,,,1.0,,1.0,,,$73.00,,
26 Apr 08,PA-28-180,N9425J,HYA-GDM,0.9,1,,,,,0.9,,0.9,,,$65.70,,
25 May 08,PA-28-180,N9425J,3B3-afn-3B3,0.9,1,,,,,,,0.9,,,$65.70,,jaffery lunch- with devan and brenna
25 May 08,PA-28-180,N9425J,3B3-HFD,0.8,1,,,,,0.8,,0.8,,,$58.40,,hartford with sam for diner
25 May 08,PA-28-180,N9425J,HFD-3B3,1.5,1,,1.0,,,1.5,,1.5,,,$109.50,,Alpha patter, gardner vor appch/ hold, safety pilot- sam carter
25 May 08,PA-28-180,N9425J,3B3,0.3,,,,0.3,,,0.3,0.3,,,$21.90,,Night Currency
21 Jun 08,Cessna 150,N45434,3B3-HYA,1.1,1,,,,,1.1,,1.1,,,$77.00,,Hyannis with Sam, Olive Garden
21 Jun 08,Cessna 150,N45434,HYA-3B3,1.2,,,,1.2,,1.2,,1.2,,,$84.00,,Back from Hyannis with Sam
25 Jun 08,PA-28-180,N9425J,3B3-HYA-ACK,1.4,2,,,,,1.4,,1.4,,,$102.20,,
25 Jun 08,PA-28-180,N9425J,ACK-HYA-3B3,1.6,2,,,,,1.6,,1.6,,,$116.80,,
25 Jun 08,L-23,118bb,3B3,0.3,1,,,,,,,,0.3,,,,Phil G
25 Jun 08,L-23,118bb,3B3,0.3,1,,,,,,,,0.3,,,,Phil G
29 Jun 08,PA-28-180,N9425J,3B3-3b3,0.8,3,,0.3,,,,,0.8,,,$58.40,,
1 Jul 08,PA-28-180,N9425J,3B3-HFD-3B3,1.7,2,,,,,1.7,,1.7,,,$124.10,,
6 Jul 08,L-23,373BA,3B3,0.7,1,,,,,,,,0.7,,,,Thermal soaring with phil G
9 Jul 08,PA-28-180,N9425J,3B3-BVY-3B3,1.5,4,,,,,,1.5,1.5,,,$109.50,,pitot check@bvy,  2 soft filed ldgs @ 3b3
13 Jul 08,Cessna 172,N13215,3B3,0.3,2,,,,,,,0.3,0.3,,$28.50,,172 checkout with ritts
15 Jul 08,PA-28-180,N9425J,3B3-BVY,0.5,1,,,,,,0.5,0.5,,,$36.50,,ferry to bvy
16 Jul 08,Cessna 150,N45434,3B3-FIT,0.4,1,,,0.4,,,0.4,0.4,,,$28.00,,
16 Jul 08,L-23,373BA,3B3,0.3,1,,,,,,,,0.3,,,,Box wake with phil g
31 Jul 08,L-23,118bb,3B3,0.2,1,,,,,,,,0.2,,,,Roy- box wake, spot landing
31 Jul 08,L-23,118bb,3B3,0.2,1,,,,,,0.2,0.2,,,,,solo
2 Aug 08,L-23,118bb,3B3,0.2,1,,,,,,,,0.2,,,,Phil G
2 Aug 08,L-23,118bb,3B3,0.2,1,,,,,,,,0.2,,,,Phil G
5 Aug 08,Cessna 150,N45434,3B3-FIT-KASH-3B3,1.6,4,,,,,,1.6,1.6,,,$120.00,,
18 Aug 08,PA-28-180,N9425J,BVY-3B3,1.1,1,,,,,,1.1,1.1,,,$80.30,,
20 Aug 08,PA-28-180,N9425J,3B3-BVY-PSM,1.4,2,,,,,1.4,1.4,1.4,,,$102.20,,MS Avionics- New KMA-24
PSM- Fuel
20 Aug 08,PA-28-180,N9425J,PSM-CON-LCI-3B3,2.0,3,,,,,2.0,2.0,2.0,,,$146.00,,Ils @CON 
PREMIER SPIRIT
20 Aug 08,PA-28-180,N9425J,3B3,0.2,,,,0.2,,,0.2,0.2,,,$14.60,,
27 Aug 08,PA-28-180,N9425J,3B3-OWD-PYM,1.0,3,,,,,1.0,1.0,1.0,,,$73.00,,
27 Aug 08,PA-28-180,N9425J,PYM-0B5,1.5,2,,,,,1.5,1.5,1.5,,,$109.50,,
27 Aug 08,PA-28-180,N9425J,0B5-GDM-3B3,1.4,2,,,,,,1.4,1.4,,,$119.00,,Tried vor approach/hold over gdm and some sightseeing
27 Aug 08,PA-28-180,N9425J,3B3-FIT-3B3,0.5,3,,,,,,,0.5,,,$36.50,,Drop Jim P off
27 Aug 08,PA-28-180,N9425J,3B3-NASH-GDM-KEEN-3B3,2.2,1,,,2.2,,,,2.2,,,$160.60,,Ils at keen/ash
Vor @GDM
20 Sep 08,PA-28-180,N9425J,GDM-KPYM,0.9,1,,,,,0.9,,0.9,,,$65.70,,Pocker run with gary/scot
20 Sep 08,PA-28-180,N9425J,KPYM-3B3,1.1,1,,,,,1.1,,1.1,,,$90.30,,Back from pocker run
23 Sep 08,L-23,373BA,3B3,0.2,1,,,,,,,0.2,,,,,Checkride !
23 Sep 08,L-23,373BA,3B3,0.3,1,,,,,,,0.3,,,,,Checkride 2
23 Sep 08,PA-28-180,N9425J,3B3-KEEN,1.7,1,,,,,,1.7,1.7,,,$144.50,,
23 Sep 08,PA-28-180,N9425J,3B3,1.9,,,1.9,1.3,,,,1.9,1.9,,$161.50,,ILS @ Keen
Missed Appch @ Keen
ILS @ ORH
24 Sep 08,PA-28-180,N9425J,3B3-EEN,0.8,1,,0.7,,,,,0.8,,,$68.00,,Devan Wiebe Safety pilot
Lic# 3266604
1 ils 02 keen
