DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,DURATION,LANDINGS DAY,INSTRUMENT,SIMULATED INSTRUMENT,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,REMARKS
3 Dec 06,Cessna 172,N6371D,3B3,1.3,6,,,0.8,,,,,1.3,,$114.40,,
10 Dec 06,Cessna 150,N45434,3B3,1.0,6,,,,,,,,1.0,,$88.00,,
31 Dec 06,Cessna 150,N45434,3B3,1.1,8,,,,,,,,1.1,,$96.80,,
31 Dec 06,Hawk XP,4563k,3B3,0.6,2,,,,,,,,0.6,,,,Ritts 
21 Jan 07,Hawk XP,4563k,3B3,0.3,1,,,,,,,,0.3,,,,
21 Jan 07,Cessna 150,N45434,3B3,1.1,8,,,,,,,,1.1,,$96.80,,
27 Jan 07,Cessna 150,N45434,3B3,0.7,5,,,,,,0.4,0.4,0.3,,$50.40,,
10 Feb 07,Cessna 150,N45434,3B3,0.8,6,,,,,,0.7,0.7,0.1,,$56.80,,
18 Feb 07,Cessna 150,N45434,3B3,0.7,5,,,,,,0.7,0.7,,,$42.00,,
7 Mar 07,Cessna 150,N45434,3B3,1.2,5,,,,,,,,1.2,,$105.60,,
22 Apr 07,Cessna 150,N45434,3B3,0.9,3,,,,,,,,0.9,,$79.20,,
6 May 07,Cessna 172,N13215,3B3,1.0,2,,,,,,,,1.0,,$113.00,,
13 May 07,Cessna 172,N13215,3B3,1.4,9,,,,,,,,1.4,,,,
27 May 07,Cessna 172,N13215,3B3,0.9,7,,,,,,,,0.9,,$33.70,,
10 Jun 07,Cessna 172,N13215,3B3,1.0,7,,,,,,,,1.0,,$123.00,,
17 Jun 07,Cessna 172,N13215,3B3,1.1,8,,,,,,,,1.1,,$135.30,,
20 Jun 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,
20 Jun 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,
2 Jul 07,Cessna 172,N13215,3B3,0.8,5,,,,,,,,0.8,,$98.40,,
15 Jul 07,Cessna 152,N25351,3B3,0.8,1,,,,,,,,0.8,,$82.40,,
22 Jul 07,Cessna 152,N25351,3B3,1.0,3,,0.4,,,,,,1.0,,$103.00,,
25 Jul 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,Roy B
25 Jul 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,Roy B
25 Jul 07,Cessna 152,N25351,3B3,1.1,5,,,,,,,,1.1,,$121.70,,
1 Aug 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,
1 Aug 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,
1 Aug 07,Cessna 152,N25351,3B3,1.3,8,,,,,,,,1.3,,$133.90,,
9 Aug 07,Cessna 150,N45434,3B3,2.1,2,,,,,2.1,,,2.1,,$216.30,,
11 Aug 07,Cessna 150,N45434,3B3,0.8,5,,,,,,0.8,0.8,,,$60.00,,
15 Aug 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,Phil Gaisford
15 Aug 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,Phil Gaisford
15 Aug 07,Cessna 150,N45434,3B3,1.5,2,,0.7,,,,,,1.5,,$154.50,,
22 Aug 07,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,Phil Gaisford
22 Aug 07,L-23,373BA,3B3,0.1,1,,,,,,,,0.1,,,,Phil Gaisford
22 Aug 07,Cessna 150,N45434,3B3,1.0,7,,,,,,,,1.0,,$103.00,,
25 Aug 07,Cessna 150,N45434,3B3,0.6,4,,,,,,0.6,0.6,,,$45.00,,
26 Aug 07,Cessna 150,N45434,3B3,0.9,4,,,,,,0.9,0.9,,,$67.50,,
29 Aug 07,2-33,17899,3B3,0.2,1,,,,,,,,0.2,,,,Roy B
29 Aug 07,Cessna 150,N45434,3B3-LCI-EEN-3B3,2.5,3,,,,,2.5,2.5,2.5,,,$187.50,,First XC
29 Aug 07,2-33,17899,3B3,0.2,1,,,,,,,,0.2,,,,
2 Sep 07,Cessna 150,N45434,3B3 - SFM - 3B3,2.2,2,,,,,2.2,2.2,2.2,,,$165.00,,Sanford
16 Sep 07,Cessna 150,N45434,3B3,0.9,1,,0.5,,,,,,0.9,,,,Carlos,  Unusual attitudes and lost procedures
23 Sep 07,Cessna 172,N13215,3B3-ORH-3B3,0.9,5,,,,,,,,0.9,,,,
23 Sep 07,2-33,17899,3B3,0.4,1,,,,,,,,0.4,,,,
23 Sep 07,2-33,17899,3B3,0.4,1,,,,,,,,0.4,,,,
29 Sep 07,L-23,373BA,3B3,0.5,1,,,,,,,,0.5,,,,
14 Oct 07,Cessna 150,N45434,3B3,0.7,1,,0.6,,,,,,0.7,,,,Trakced gdm vor
21 Oct 07,Cessna 150,N45434,3B3-GON-3B3,2.1,,,,2.1,,2.1,,,2.1,,,,GON via putnam VOR
4 Nov 07,Cessna 150,N45434,3B3,1.1,2,,0.7,,,,,,1.1,,,,Carlos, attepted 'a' pattern, softfield
28 Nov 07,Cessna 150,N45434,3B3-ORH-3B3,0.8,2,,,0.3,,,,,0.8,,,,
24 Dec 07,Cessna 150,N45434,3B3,1.4,2,,,,,,,,1.4,,,,
26 Dec 07,Cessna 150,N45434,3B3,1.5,2,,,,,,,,1.5,,,,
28 Dec 07,Cessna 150,N45434,3B3 - SFM - 3B3,2.3,12,,,,,2.3,2.3,2.3,,,,,
5 Jan 08,Cessna 150,N45434,3B3-ORH-3B3,1.7,5,,,,,,1.7,1.7,,,,,
8 Jan 08,Cessna 150,N45434,3B3,1.0,5,,,,,,,,1.0,,,,
10 Jan 08,Cessna 150,N45434,3B3,0.7,1,,0.2,,,,,,0.7,,,,l
12 Jan 08,Cessna 150,N45434,3B3,0.9,3,,,,,,,,0.9,,,,
26 Jan 08,Cessna 150,N45434,3B3,0.4,4,,,,,,,,0.4,,,,
29 Jan 08,Cessna 150,N45434,3B3,3.9,10,,0.2,,,,,3.9,,,,,
16 Feb 08,PA-28-180,N9425J,3B3,0.9,5,,,,,,,,0.9,,$50.70,,Cherokee 180 checkout
21 Feb 08,PA-28-180,N9425J,3B3-BED-3B3,1.7,6,,,0.4,,,,1.7,,,$124.10,,
6 Mar 08,PA-28-180,N9425J,3B3-CON-3B3,1.5,3,,,,,,,1.5,,,$109.50,,
18 Mar 08,PA-28-180,N9425J,3B3-ash-3B3,2.1,10,,,,,,,2.1,,,$153.30,,
