3/18/2001	C-172	N62046	UZA-27J-LKR-UZA	4		1.9		1.9					1.9			1.9	1.9		
3/23/2001	C-172	N52365	UZA-CAE-UZA	2		2.2		2.2			1.7		2.2			2.2	2.2		
4/8/2001	C-172	N4408L	5W4-MEB-5W4	2		1.2		1.2								1.2	1.2		
4/13/2001	C-172	N5433R	X60-X60	1		0.5		0.5								0.5	0.5		
5/11/2001	C-172	N5433R	0CF-88J	1		3.0		3.0					3.0			3.0	3.0		
5/12/2001	C-172	N5433R	88J-LKR	1		1.3		1.3					1.3			1.3	1.3		
5/13/2001	C-172	N5433R 	LKR-LKR	1		0.6		0.6								0.6	0.6		
5/19/2001	C-172	N5433R	LKR-SVH-LKR	2		2.5		2.5					2.5			2.5	2.5		
6/3/2001	C-172	N5433R	LKR-35A-GSP-LKR	3		2.5		2.5					2.5			2.5	2.5		
6/14/2001	C-172	N5433R	LKR-34A-LKR	2		1.7		1.7			1.4		1.7			1.7	1.7		
6/17/2001	C-172	N5433R	LKR-UZA-LKR	2		0.9		0.9								0.9	0.9		
6/18/2001	C-172	N5433R	LKR-35A-PGY-LKR	3		2.2		2.2					2.2			2.2	2.2		
7/2/2001	C-172	N5433R	LKR-60J-CPC-LKR	3		3.7		3.7					3.7			3.7	3.7		
7/15/2001	C-172	N5433R	LKR-34A-LKR	2		1.8		1.8					1.8			1.8	1.8		
7/31/2001	C-172	N5433R	LKR-UZA-LKR	2		1.2		1.2								1.2	1.2		
8/7/2001	C-172	N5433R	LKR-GSP-LKR	2		2.4		2.4			1.3		2.4			2.4	2.4		
8/20/2001	C-172	N5433R	LKR-34A-LKR	2		1.2		1.2					1.2			1.2	1.2		
8/27/2001	C-172	N5433R	LKR-34A-35A-LKR	3		1.9		1.9					1.9			1.9	1.9		
9/5/2001	C-172	N5433R	LKR-LKR	1		1.8		1.8			1.8				1.8	1.8	1.8		
9/12/2001	C-172	N5433R	LKR-LKR	1		1.8		1.8			1.8				1.8	1.8	1.8		
9/21/2001	C-172	N5433R	LKR-GRD	1		1.8		1.8			1.7	0.1	1.8		1.8	1.8	1.8		
9/21/2001	C-172	N5433R	GRD-LKR	1		0.9		0.9			0.7	0.2	0.9		0.9	0.9	0.9		
9/26/2001	C-172	N5433R	LKR-LKR	1		1.9		1.9			1.7				1.9	1.9	1.9		
10/3/2001	C-172	N5433R	LKR-LKR	1		1.5		1.5			1.5				1.5	1.5	1.5		
10/7/2001	C-172	N5433R	LKR-UDG-LKR	2		1.9		1.9					1.9			1.9	1.9		
10/12/2001	C-172	N5433R	LKR-LKR	12		1.0		1.0								1.0	1.0		
10/14/2001	C-172	N5433R	LKR-LKR	2		0.5		0.5								0.5	0.5		
10/15/2001	C-172	N5433R	LKR-SPA-LKR	4		2.6		2.6			2.1		2.6			2.6	2.6		
10/21/2001	C-172	N5433R	LKR-SC99-LKR	3		1.6		1.6					1.6			1.6	1.6		
10/24/2001	C-172	N5433R	LKR-9A6-LKR	2		0.9		0.9								0.9	0.9		
11/4/2001	C-172	N5433R	LKR-0GB-LKR	4		2.6		2.6					2.6			2.6	2.6		
11/11/2001	C-172	N5433R	LKR-LKR	1		0.9		0.9								0.9	0.9		
11/13/2001	C-172	N5433R	LKR-LKR	1		1.5		1.5								1.5	1.5		
11/18/2001	C-172	N5433R	LKR-LKR		4	0.0	1.1	1.1								1.1	1.1		
